Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Plant/Arthropod,Object Class,Object Order,Object Family,Object Genus,Object Species,
Primary  ,1,"Acosta y Lara, E. 1950",South America,Uruguay-Forest,Uruguay,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Passifloraceae,Passiflora,,
Primary  ,1,"Acosta y Lara, E. 1950",South America,Uruguay-Forest,Uruguay,Forest,,,,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Myrtaceae,Eugenia,,
Primary  ,62,"Aguiar, L. M. 2005",South America,Embrapa Cerrados,Brazil,Savanna,-15.6283333,-47.37083333,879,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Plant,,,Icacinaceae,Emmotum,Emmotum nitens,
Primary  ,62,"Aguiar, L. M. 2005",South America,Embrapa Cerrados,Brazil,Savanna,-15.6283333,-47.37083333,879,,Consumption,Leaf,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Plant,,,Solanaceae,Solanum,Solanum lycocarpum,
Primary  ,2,"Alcorn, S. M., S. E. McGregor & G. Olin. 1961",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Cactaceae,Carnegiea,Carnegiea gigantea,
Primary  ,2,"Alcorn, S. M., S. E. McGregor & G. Olin. 1961",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Visitation,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Asparagaceae,Agave,Agave schottii,
Primary  ,3,"Alcorn, S. M., S. E. McGregor & G. Olin. 1962",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Visitation,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Asparagaceae,Agave,Agave parryi,
Primary  ,3,"Alcorn, S. M., S. E. McGregor & G. Olin. 1962",North America,"Tucson, AZ",USA,Desert,32.2217429,-110.926479,758,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Cactaceae,Stenocereus,Stenocereus thurberi,
Primary  ,8,"Andrade, J. C. d. & A. G. d. Andrade. 1983",,,,,,,,,Seed Dispersal,Seed,Chiroptera,,,,Plant,,,Sapotaceae,Pouteria,Pouteria psammophila,
Primary  ,9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plant,,,Cactaceae,Leptocereus,Leptocereus arboreus,
Primary  ,9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plant,,,Cactaceae,Leptocereus,Leptocereus santamarinae,
Primary  ,9,"Areces-Mallea, A. E. 2002",,,,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Monophyllus,Monophyllus redmani,Plant,,,Cactaceae,Leptocereus,Leptocereus wrightii,
Primary  ,9,"Areces-Mallea, A. E. 2002",,Cuba-Unspecified,Cuba,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllonycteris,Phyllonycteris poeyi,Plant,,,Cactaceae,Leptocereus,Leptocereus arboreus,
Primary  ,10,"Arias-Cóyotl, E., K. E. Stoner & A. Casas. 2006",North America,"Chinango, Oaxaca",Mexico,Forest,18.106086,-97.75541,1600,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris yerbabuenae,Plant,,,Cactaceae,Stenocereus,Stenocereus stellatus,
Primary  ,10,"Arias-Cóyotl, E., K. E. Stoner & A. Casas. 2006",North America,"Chinango, Oaxaca",Mexico,Forest,18.106086,-97.75541,1600,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Cactaceae,Stenocereus,Stenocereus stellatus,
Primary  ,10,"Arias-Cóyotl, E., K. E. Stoner & A. Casas. 2006",North America,"Chinango, Oaxaca",Mexico,Forest,18.106086,-97.75541,1600,,Pollination,Flower,Chiroptera,Phyllostomidae,Choeronycteris,Choeronycteris mexicana,Plant,,,Cactaceae,Stenocereus,Stenocereus stellatus,
Primary  ,13,"Arizaga, S. et al. 2000b",North America,"Field Laboratory of UNAM's Institute of Ecology, Zapotitlan Salinas ",Mexico,Desert,18.3292323,-97.4746759,1500,,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris yerbabuenae,Plant,,,Asparagaceae,Agave,Agave macroacantha,
Primary  ,13,"Arizaga, S. et al. 2000b",North America,"Field Laboratory of UNAM's Institute of Ecology, Zapotitlan Salinas ",Mexico,Desert,18.3292323,-97.4746759,1500,,Pollination,Flower,Chiroptera,Phyllostomidae,Choeronycteris,Choeronycteris mexicana,Plant,,,Asparagaceae,Agave,Agave macroacantha,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plant,,,Urticaceae,Cecropia,Cecropia membranacea,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Urticaceae,Cecropia,Cecropia membranacea,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Piperaceae,Pothomorphe,Pothomorphe peltata,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plant,,,Hypericaceae,Vismia,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Pothomorphe,Pothomorphe peltata,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Araceae,Anthurium,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Urticaceae,Cecropia,Cecropia distachya,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Urticaceae,Cecropia,Cecropia ficifolia,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Pothomorphe,Pothomorphe peltata,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Piperaceae,Piper,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plant,,,Urticaceae,Cecropia,Cecropia ficifolia,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plant,,,Moraceae,Ficus,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Solanaceae,Solanum,Solanum lanceolatum,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Clusiaceae,Havetiopsis,Havetiopsis flavida,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Uroderma bilobatum,Plant,,,Moraceae,Ficus,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Piperaceae,Pothomorphe,Pothomorphe peltata,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma magnirostrum,Plant,,,Piperaceae,Pothomorphe,Pothomorphe peltata,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Piperaceae,Piper,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plant,,,Piperaceae,Piper,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Plant,,,Piperaceae,Piper,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Hypericaceae,Vismia,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus obscurus,Plant,,,Urticaceae,Cecropia,Cecropia membranacea,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus obscurus,Plant,,,Moraceae,Ficus,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plant,,,Urticaceae,Cecropia,Cecropia membranacea,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Hypericaceae,Vismia,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Moraceae,Ficus,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plant,,,Hypericaceae,Vismia,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Platyrrhinus helleri,Plant,,,Urticaceae,Cecropia,Cecropia ficifolia,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,,
Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Moraceae,Ficus,,
Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla fischerae,Plant,,,Solanaceae,,,
Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla fischerae,Plant,,,Urticaceae,Cecropia,,
Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,,
Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Plant,,,Urticaceae,Cecropia,,
Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira tildae,Plant,,,Piperaceae,Piper,,
Primary  ,17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,Vismia angusta,
Primary  ,17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plant,,,Hypericaceae,Vismia,Vismia angusta,
Primary  ,17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plant,,,Urticaceae,Cecropia,Cecropia distachya,
Primary  ,19,"August, P. V. ,1981",South America,Fundo Pecuario Masaguara,Venezuela,Savanna,8.600032,-67.615356,103,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus trigonata,
Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Visitation,Flower,Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,Plant,,,Fabaceae,Parkia,Parkia clappertoniana,
Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Visitation,Flower,Chiroptera,Pteropodidae,Nanonycteris,Nanonycteris veldkampii,Plant,,,Fabaceae,Parkia,Parkia clappertoniana,
Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Seed Dispersal,Seed,Chiroptera,Pteropodidae,Nanonycteris,Nanonycteris veldkampii,Plant,,,Moraceae,Ficus,Ficus umbellata,
Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Seed Dispersal,Seed,Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,Plant,,,Moraceae,Ficus,Ficus umbellata,
Primary  ,24,"Baker, H. G. 1970",Central America,Botanical Garden in Lancetilla,Honduras,Forest,15.740049,-87.455635,20,800,Visitation,Flower,Chiroptera,Phyllostomidae,,,Plant,,,Malvaceae,Durio,Durio zibethinus,
Primary  ,24,"Baker, H. G. 1970",Central America,Santa Ana,Costa Rica,Forest,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,,,Plant,,,Fabaceae,Mucuna,Mucuna andreana,
Primary  ,22,"Baker, H. G., R. W. Cruden & I. Baker. 1971",North America,Sinaloa State,Mexico,Shrubland,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris yerbabuenae,Plant,,,Malvaceae,Ceiba,Ceiba acuminata,
Primary  ,26,"Banack, S. A., M. H. Horn & A. Gawlicka. 2002",Central America,La Selva Biological Station,Costa Rica,Forest,10.422,-84.015,35,135,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus insipida,
Primary  ,26,"Banack, S. A., M. H. Horn & A. Gawlicka. 2002",Central America,La Selva Biological Station,Costa Rica,Forest,10.422,-84.015,35,135,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Ficus,Ficus insipida,
Primary  ,26,"Banack, S. A., M. H. Horn & A. Gawlicka. 2002",Central America,La Selva Biological Station,Costa Rica,Forest,10.422,-84.015,35,135,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus insipida,
Primary  ,28,"Bizerril, M. X. A. &  A. Raw. 1997",South America,"Fazenda Água Limpa, Experimental Station of the University of Brasília",Brazil,Forest,-15.908178,-47.85902,1000,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Piperaceae,Piper,Piper arboreum,
Primary  ,28,"Bizerril, M. X. A. &  A. Raw. 1997",South America,"Fazenda Água Limpa, Experimental Station of the University of Brasília",Brazil,Forest,-15.908178,-47.85902,1000,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper arboreum,
Primary  ,28,"Bizerril, M. X. A. &  A. Raw. 1997",South America,"Fazenda Água Limpa, Experimental Station of the University of Brasília",Brazil,Forest,-15.908178,-47.85902,1000,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Piperaceae,Piper,Piper arboreum,
Primary  ,28,"Bizerril, M. X. A. &  A. Raw. 1997",South America,"Fazenda Água Limpa, Experimental Station of the University of Brasília",Brazil,Forest,-15.908178,-47.85902,1000,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Piperaceae,Piper,Piper arboreum,
Primary  ,30,"Bloedel, P. 1955",Central America,Summit Experimental Gardens,Panama,Forest,9.065,-79.646,100,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Anacardiaceae,Anacardium,Anacardium excelsum,
Primary  ,30,"Bloedel, P. 1955",Central America,Summit Experimental Gardens,Panama,Forest,9.065,-79.646,100,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Arecaceae,,,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Hypericaceae,Vismia,,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Urticaceae,Cecropia,,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Malvaceae,Quararibea,Quararibea asterolepis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Anacardiaceae,Spondias,Spondias mombin,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,Ficus yoponensis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Urticaceae,Cecropia,,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,Ficus insipida,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Clusiaceae,Clusia,Clusia odorata,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Solanaceae,Markea,Markea panamensis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Anacardiaceae,Spondias,Spondias mombin,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Anacardiaceae,Spondias,Spondias mombin,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Solanaceae,Solanum,Solanum hayesii,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Salicaceae,Tetrathylacium,Tetrathylacium johansenii,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper cordulatum,
